Image_No,Noise_Level,Mean_Filter,Median_Filter,Adaptive_Median,Spatial_Adaptive_Filter,Proposed_Method,Proposed_v1_Method
1,0.1,0.00993961696485378,0.00306582053777388,0.00198720120228697,0.0237675148136388,0.00478609019818091,0.00732826992623013
2,0.2,0.00999628603068788,0.00293500326084013,0.00189769986866528,0.0246052128294261,0.0048276264875588,0.00808965780514087
3,0.3,0.0101157793032573,0.00295655376312591,0.00185483704434591,0.0244052740006853,0.00460894111301836,0.00786960459543789
4,0.4,0.00988036616588231,0.00306252003999357,0.00192765473127822,0.0248540858496436,0.00487908280844499,0.00819960486013482
5,0.5,0.0105829117894855,0.00327521875976181,0.00200113251776659,0.0252622125223026,0.00481291539574616,0.00812781545484286
6,0.6,0.0105173859381754,0.00333764287060559,0.00206865462464856,0.024828617692865,0.00496945707855745,0.00888880394184327
7,0.7,0.0104677789754838,0.00347369823580468,0.00210646192645255,0.0255502435492813,0.0050808904721891,0.00910217731010903
8,0.8,0.010491991699406,0.00356534882354436,0.00209361192585182,0.0246406930045689,0.00507115863827906,0.00893890908845162
9,0.9,0.010061163280799,0.00340331327268952,0.00200028210866913,0.0226264244352386,0.00498608299880146,0.00837228742025286
10,1,0.0103618687824389,0.00352297620468983,0.00211941376964387,0.0264765615144267,0.00523445525383857,0.0088912430014898
